permit_number,address,type,value
2024-131794 MP,"2004 E WILLIAM CANNON DR UNIT 103, Chattanooga, TN",Mechanical Permit,$51754
2025-042598 MP,"2704 THRESH RD UNIT A, Chattanooga, TN",Mechanical Permit,$170786
2025-140435 EP,"5304 SAMUEL HUSTON AVE BLDG 2, Chattanooga, TN",Electrical Permit,$157277
2025-042486 MP,"2700 THRESH RD UNIT A, Chattanooga, TN",Mechanical Permit,$262926
2025-135428 PP,"902 W JOHANNA ST, Chattanooga, TN",Plumbing Permit,$69788
2025-047435 MP,"1900 CROSSING PL BLDG 1, Chattanooga, TN",Mechanical Permit,$226208
2025-137520 EP,"11404 MUSKET RIM, Chattanooga, TN",Electrical Permit,$108023
2025-044023 MP,"2704 RANCHERO RD UNIT 2A, Chattanooga, TN",Mechanical Permit,$56039
2025-037590 MP,"2708 RANCHERO RD UNIT 2B, Chattanooga, TN",Mechanical Permit,$58530
2025-037589 MP,"2708 RANCHERO RD UNIT 2A, Chattanooga, TN",Mechanical Permit,$64544
2025-125693 PP,"1403 KAREN AVE, Chattanooga, TN",Plumbing Permit,$223571
2025-135587 EP,"3611 SERENA WOODS CT, Chattanooga, TN",Electrical Permit,$236675
2025-118918 PP,"300 S LAMAR BLVD SB, Chattanooga, TN",Plumbing Permit,$255055
2025-044185 MP,"2704 THRESH RD UNIT B, Chattanooga, TN",Mechanical Permit,$207019
2025-043841 MP,"11104 CROSSBEAM DR UNIT 1B, Chattanooga, TN",Mechanical Permit,$72614
2025-142196 MP,"2413 MC DONALD WAY, Chattanooga, TN",Mechanical Permit,$156550
2025-134686 EP,"11000 ANDERSON MILL RD BLDG K2 UNIT 91, Chattanooga, TN",Electrical Permit,$89924
2025-134897 BP,"3701 W SLAUGHTER LN, Chattanooga, TN",Building Permit,$89954
2025-140426 EP,"8013 EXCHANGE DR, Chattanooga, TN",Electrical Permit,$211261
2025-126135 EP,"2508 BERWYN CIR, Chattanooga, TN",Electrical Permit,$84212
2025-044040 MP,"2706 RANCHERO RD UNIT 3A, Chattanooga, TN",Mechanical Permit,$172990
2025-141592 BP,"1180 RIDGEWAY DR--UNIT 2, Chattanooga, TN",Building Permit,$207173
2025-139301 EP,"7006 WHISPERING CREEK DR, Chattanooga, TN",Electrical Permit,$167888
2025-042581 MP,"2702 THRESH RD UNIT A, Chattanooga, TN",Mechanical Permit,$271103
2025-134252 EP,"4706 1/2 WELETKA DR, Chattanooga, TN",Electrical Permit,$106498
2025-141441 PP,"1208 KNOLLPARK CIR, Chattanooga, TN",Plumbing Permit,$288386
2025-043311 MP,"11104 CROSSBEAM DR UNIT 1A, Chattanooga, TN",Mechanical Permit,$199736
2025-143075 EP,"8608 ALVERSTONE WAY, Chattanooga, TN",Electrical Permit,$251222
2025-141752 BP,"817 W HOWARD LN, Chattanooga, TN",Building Permit,$201099
2025-140895 EP,"3308 GALLOP CV, Chattanooga, TN",Electrical Permit,$187224
2025-143284 BP,"8508 COSMICO ST, Chattanooga, TN",Building Permit,$250978
2025-101480 MP,"7004 STITZEL WELLER DR, Chattanooga, TN",Mechanical Permit,$159527
2025-062686 BP,"912 BASTROP HWY SB, Chattanooga, TN",Building Permit,$225005
2025-130856 EP,"1212 W 13TH ST, Chattanooga, TN",Electrical Permit,$294515
2025-115076 BP,"408 JOSEPHINE ST, Chattanooga, TN",Building Permit,$170545
2025-143109 BP,"6903 ONE OAK RD, Chattanooga, TN",Building Permit,$252612
2025-141764 BP,"1129 MAP ST, Chattanooga, TN",Building Permit,$139668
2025-140990 BP,"1112 W BEN WHITE BLVD SVRD WB UNIT 400, Chattanooga, TN",Building Permit,$175332
2025-141748 PP,"10029 MOUNT RAINIER DR, Chattanooga, TN",Plumbing Permit,$162438
2025-143024 BP,"2406 BROKEN OAK DR, Chattanooga, TN",Building Permit,$154635
2025-088395 EP,"1217 HARVEY ST--BLDG 1, Chattanooga, TN",Electrical Permit,$283118
2025-141379 MP,"9824 PALMBROOK DR, Chattanooga, TN",Mechanical Permit,$289891
2023-094200 MP,"1102 CHARLOTTE ST, Chattanooga, TN",Mechanical Permit,$237313
2025-139402 PP,"12220 DONINGTON DR, Chattanooga, TN",Plumbing Permit,$59550
2025-141263 EP,"16407 KIDD LN, Chattanooga, TN",Electrical Permit,$269249
2024-125851 EP,"200 W 56TH ST UNIT 5102, Chattanooga, TN",Electrical Permit,$121652
2025-137110 EP,"1303 W ST JOHNS AVE, Chattanooga, TN",Electrical Permit,$201464
2025-141549 BP,"11113 RESEARCH BLVD SVRD NB, Chattanooga, TN",Building Permit,$141996
2024-041562 BP,"5203 STAR LIGHT TER, Chattanooga, TN",Building Permit,$66003
2025-123754 DS,"7208 PROVIDENCE AVE, Chattanooga, TN",Driveway / Sidewalks,$74775
2025-124981 EP,"706 E 46TH ST UNIT B, Chattanooga, TN",Electrical Permit,$189954
2025-140452 PP,"1141 RICHARDINE AVE, Chattanooga, TN",Plumbing Permit,$292756
2025-141265 EP,"5712 ABBY ANN LN, Chattanooga, TN",Electrical Permit,$53464
2025-141082 BP,"500 MAIRO ST, Chattanooga, TN",Building Permit,$88680
2025-140705 BP,"5408 MONTVIEW ST, Chattanooga, TN",Building Permit,$104329
2025-141067 BP,"4000 IDLEWILD RD, Chattanooga, TN",Building Permit,$299681
2025-140955 EP,"12112 CANTABRIA RD, Chattanooga, TN",Electrical Permit,$282071
2025-142388 BP,"10701 SPICEWOOD CLUB DR, Chattanooga, TN",Building Permit,$72578
2025-141013 PP,"10700 MACMORA RD UNIT 108, Chattanooga, TN",Plumbing Permit,$189607
2025-141082 PP,"500 MAIRO ST, Chattanooga, TN",Plumbing Permit,$260139
2024-149874 BP,"4601 HANK AVE BLDG 1, Chattanooga, TN",Building Permit,$208037
2025-129342 BP,"12420 WHITE EAGLE RD, Chattanooga, TN",Building Permit,$224711
2025-141074 BP,"4000 IDLEWILD RD, Chattanooga, TN",Building Permit,$178418
2024-002414 PP,"5509 WILLIAM HOLLAND AVE, Chattanooga, TN",Plumbing Permit,$256743
2025-015505 EP,"1717 ROCKBRIDGE TER, Chattanooga, TN",Electrical Permit,$284055
2025-140880 EP,"14708 EARL GREY LN, Chattanooga, TN",Electrical Permit,$146112
2025-142179 BP,"8212 1/2 FM 1625 RD, Chattanooga, TN",Building Permit,$162118
2025-141152 BP,"805 SAHARA AVE, Chattanooga, TN",Building Permit,$173994
2025-139400 EP,"14932 THATCHER DR, Chattanooga, TN",Electrical Permit,$207268
2025-142906 PP,"9219 OLD MANOR RD UNIT 430, Chattanooga, TN",Plumbing Permit,$122512
2025-140370 EP,"7003 JESTER BLVD, Chattanooga, TN",Electrical Permit,$135585
2025-124558 EP,"11015 CONCHOS CV, Chattanooga, TN",Electrical Permit,$192117
2025-143563 BP,"209 OERTLI LN, Chattanooga, TN",Building Permit,$134868
2025-143114 BP,"1505 NORRIS DR, Chattanooga, TN",Building Permit,$69266
2025-141070 BP,"4424 GAINES RANCH LOOP BLDG 2, Chattanooga, TN",Building Permit,$120590
2025-142001 PP,"12601 SCOFIELD FARMS DR, Chattanooga, TN",Plumbing Permit,$221580
2025-023166 EP,"4807 SINCLAIR AVE UNIT B, Chattanooga, TN",Electrical Permit,$83195
2025-140689 EP,"12351 1/2 N IH 35 SVRD NB UNIT B, Chattanooga, TN",Electrical Permit,$229743
2024-138040 DS,"1005 W MONROE ST, Chattanooga, TN",Driveway / Sidewalks,$115639
2025-135525 MP,"3703 LAUREL LEDGE LN, Chattanooga, TN",Mechanical Permit,$281340
2025-113214 EP,"827 W 12TH ST UNIT 102, Chattanooga, TN",Electrical Permit,$177604
2025-141473 BP,"300 W MOCKINGBIRD LN BLDG 1, Chattanooga, TN",Building Permit,$256600
2025-134468 MP,"106 E 6TH ST UNIT 620, Chattanooga, TN",Mechanical Permit,$252556
2025-140139 EP,"9419 SHADY OAKS DR, Chattanooga, TN",Electrical Permit,$186287
2025-137575 EP,"6109 TWIN LEDGE DR, Chattanooga, TN",Electrical Permit,$255568
2025-124979 EP,"704 E 46TH ST, Chattanooga, TN",Electrical Permit,$83969
2025-086445 EP,"3011 WESTLAKE DR, Chattanooga, TN",Electrical Permit,$126210
2025-143305 BP,"912 GENE JOHNSON ST, Chattanooga, TN",Building Permit,$79401
2025-143548 BP,"13100 MILL STONE DR, Chattanooga, TN",Building Permit,$60395
2025-142451 BP,"2021 PAYNE AVE, Chattanooga, TN",Building Permit,$275325
2025-142698 BP,"6905 CREIGHTON LN, Chattanooga, TN",Building Permit,$144467
2025-141602 BP,"3900 N CAPITAL OF TEXAS HWY SB BLDG F, Chattanooga, TN",Building Permit,$249833
2025-140501 EP,"2005 POINT BLUFF DR, Chattanooga, TN",Electrical Permit,$207540
2025-138689 EP,"10523 RIVER PLANTATION DR, Chattanooga, TN",Electrical Permit,$166331
2025-141025 EP,"7903 ISAAC PRYOR DR, Chattanooga, TN",Electrical Permit,$203349
2025-142095 PP,"10905 MAELIN DR, Chattanooga, TN",Plumbing Permit,$74386
2025-141577 PP,"12304 AUDANE DR, Chattanooga, TN",Plumbing Permit,$288452
2024-097401 PP,"409 W MONROE ST, Chattanooga, TN",Plumbing Permit,$295785
2025-143194 BP,"2218 RIVERVIEW ST, Chattanooga, TN",Building Permit,$254599
2025-140488 BP,"3220 CHERRY LN, Chattanooga, TN",Building Permit,$213475
2025-140628 EP,"9512 DINGO DR, Chattanooga, TN",Electrical Permit,$150161
2025-139168 EP,"2005 1/2 THRASHER LN UNIT FOODT, Chattanooga, TN",Electrical Permit,$161129
2025-141834 BP,"1401 SWEET BARK ST, Chattanooga, TN",Building Permit,$167246
2025-141839 PP,"3838 STECK AVE, Chattanooga, TN",Plumbing Permit,$255251
2025-141686 PP,"1807 NORTHRIDGE DR, Chattanooga, TN",Plumbing Permit,$56801
2025-141103 BP,"509 E 38TH HALF ST, Chattanooga, TN",Building Permit,$180752
2025-023165 EP,"4807 SINCLAIR AVE UNIT A, Chattanooga, TN",Electrical Permit,$208894
2025-141274 EP,"6004 SHOALWOOD AVE, Chattanooga, TN",Electrical Permit,$160625
2025-139538 EP,"2403 ROCKINGHAM CIR, Chattanooga, TN",Electrical Permit,$265594
2025-088397 EP,"1217 HARVEY ST--BLDG 3, Chattanooga, TN",Electrical Permit,$255749
2025-141493 EP,"8432 ANTERO DR, Chattanooga, TN",Electrical Permit,$189289
2025-141058 BP,"4424 GAINES RANCH LOOP BLDG 1, Chattanooga, TN",Building Permit,$109794
2025-140600 BP,"2607 W BRAKER LN, Chattanooga, TN",Building Permit,$294693
2025-139547 EP,"3823 AIRPORT BLVD, Chattanooga, TN",Electrical Permit,$121643
2025-140698 EP,"2004 MATTHEWS DR, Chattanooga, TN",Electrical Permit,$292823
2025-141333 PP,"2406 ROCK TERRACE CIR, Chattanooga, TN",Plumbing Permit,$73067
2025-140164 EP,"1801 ALAMEDA DR UNIT 2, Chattanooga, TN",Electrical Permit,$241976
2024-060412 EP,"3801 N CAPITAL OF TEXAS HWY NB BLDG 3, Chattanooga, TN",Electrical Permit,$217797
2025-141123 BP,"4420 N LAMAR BLVD, Chattanooga, TN",Building Permit,$76211
2025-141489 EP,"5925 SHANGHAI PIERCE RD, Chattanooga, TN",Electrical Permit,$88531
2024-151136 PP,"413 THISTLEWOOD DR, Chattanooga, TN",Plumbing Permit,$102330
2025-074159 EP,"3903 BALCONES DR, Chattanooga, TN",Electrical Permit,$279720
2025-142338 PP,"604 W 25TH ST, Chattanooga, TN",Plumbing Permit,$291754
2025-142542 EP,"7116 STITZEL WELLER DR, Chattanooga, TN",Electrical Permit,$69331
2024-125853 EP,"200 W 56TH ST UNIT 5104, Chattanooga, TN",Electrical Permit,$200113
2025-141516 PP,"8701 STURMER ST, Chattanooga, TN",Plumbing Permit,$64740
2025-141085 BP,"4424 GAINES RANCH LOOP BLDG 3, Chattanooga, TN",Building Permit,$99610
2025-142724 BP,"805 E RUNDBERG LN, Chattanooga, TN",Building Permit,$125687
2025-084513 MP,"2010 OAKLEAF CIR, Chattanooga, TN",Mechanical Permit,$156002
2025-141271 EP,"6004 SHOALWOOD AVE, Chattanooga, TN",Electrical Permit,$106814
2024-151136 EP,"413 THISTLEWOOD DR, Chattanooga, TN",Electrical Permit,$272081
2025-136135 EP,"3315 FAR VIEW DR, Chattanooga, TN",Electrical Permit,$251587
2025-141068 PP,"1036 LIBERTY PARK DR BLDG 4 UNIT A, Chattanooga, TN",Plumbing Permit,$172659
2025-142268 BP,"2414 PEARL ST, Chattanooga, TN",Building Permit,$272633
2025-141337 PP,"2531 WINCHELL LN, Chattanooga, TN",Plumbing Permit,$219483
2025-141527 PP,"13322 SHORE VISTA DR, Chattanooga, TN",Plumbing Permit,$80705
2025-142544 BP,"3306 WINDSOR RD, Chattanooga, TN",Building Permit,$154286
2025-088396 EP,"1217 HARVEY ST--BLDG 2, Chattanooga, TN",Electrical Permit,$255320
2025-143468 BP,"12224 BARREL BND, Chattanooga, TN",Building Permit,$93932
2025-113161 MP,"4000 S IH 35 SVRD SB UNIT FLR5, Chattanooga, TN",Mechanical Permit,$196043
2025-124335 EP,"7107 SPURLOCK DR, Chattanooga, TN",Electrical Permit,$262427
2025-142590 BP,"4706 SHOALWOOD AVE, Chattanooga, TN",Building Permit,$113587
2025-133974 PP,"5604 CHADWYCK DR, Chattanooga, TN",Plumbing Permit,$232324
2023-122557 EP,"8701 MENCHACA RD BLDG 1 UNIT 107, Chattanooga, TN",Electrical Permit,$205722
2025-137095 EP,"8828 RESEARCH BLVD SVRD SB, Chattanooga, TN",Electrical Permit,$106104
2025-135346 EP,"7004 STITZEL WELLER DR, Chattanooga, TN",Electrical Permit,$272901
2025-141373 PP,"501 SACRAMENTO DR, Chattanooga, TN",Plumbing Permit,$218667
2025-136163 EP,"1701 W KOENIG LN, Chattanooga, TN",Electrical Permit,$106437
2025-140879 PP,"1316 FALCON LEDGE DR, Chattanooga, TN",Plumbing Permit,$137805
2025-143056 EP,"13450 N US 183 HWY SVRD SB, Chattanooga, TN",Electrical Permit,$177296
2025-133997 BP,"4519 RIMROCK TRL, Chattanooga, TN",Building Permit,$86782
2025-140281 EP,"5010 RICHMOND AVE, Chattanooga, TN",Electrical Permit,$75338
2025-141292 PP,"12304 ROLLING HILL DR, Chattanooga, TN",Plumbing Permit,$291376
2025-130705 MP,"12925 STAYWELL WAY, Chattanooga, TN",Mechanical Permit,$108293
2025-087783 MP,"12400 MERCURY LN, Chattanooga, TN",Mechanical Permit,$63388
2025-142272 MP,"701 FORT CHADBOURNE DR, Chattanooga, TN",Mechanical Permit,$213507
2025-140886 EP,"14708 EARL GREY LN, Chattanooga, TN",Electrical Permit,$264942
2025-141805 BP,"2025 1/2 FARO DR, Chattanooga, TN",Building Permit,$167379
2025-087735 BP,"1004 JUANITA ST BLDG 1, Chattanooga, TN",Building Permit,$125766
2025-046133 PP,"913 CAPITOL CT, Chattanooga, TN",Plumbing Permit,$194285
2025-025629 MP,"2510 GREAT OAKS PKWY, Chattanooga, TN",Mechanical Permit,$94752
2025-141780 BP,"5705 MARILYN DR, Chattanooga, TN",Building Permit,$159319
2025-122814 PP,"12733 TESLA RD, Chattanooga, TN",Plumbing Permit,$231706
2025-140979 PP,"2606 LITTLE JOHN LN, Chattanooga, TN",Plumbing Permit,$180568
2025-142543 EP,"2617 TOWY RD, Chattanooga, TN",Electrical Permit,$114394
2025-143117 BP,"111 CONGRESS AVE UNIT 1700, Chattanooga, TN",Building Permit,$175899
2025-141823 BP,"11415 1/2 ZIMMERMAN LN, Chattanooga, TN",Building Permit,$157310
2025-134459 MP,"106 E 6TH ST UNIT 600, Chattanooga, TN",Mechanical Permit,$117078
2025-140704 BP,"5408 MONTVIEW ST, Chattanooga, TN",Building Permit,$266898
2025-138678 BP,"2301 LEHIGH DR, Chattanooga, TN",Building Permit,$202153
2025-055742 MP,"9417 BOATHOUSE DR, Chattanooga, TN",Mechanical Permit,$267864
2025-142061 PP,"6810 DEATONHILL DR UNIT 4301, Chattanooga, TN",Plumbing Permit,$138716
2025-140893 EP,"3308 GALLOP CV, Chattanooga, TN",Electrical Permit,$146715
2025-125129 PP,"2301 FALCON HILL DR, Chattanooga, TN",Plumbing Permit,$75026
2025-142882 PP,"9219 OLD MANOR RD UNIT 230, Chattanooga, TN",Plumbing Permit,$140789
2025-139931 EP,"6000 MARILYN DR, Chattanooga, TN",Electrical Permit,$248594
2025-099992 MP,"606 BLANCO ST, Chattanooga, TN",Mechanical Permit,$76298
2025-143312 PP,"12733 TESLA RD, Chattanooga, TN",Plumbing Permit,$232779
2024-060952 EP,"3801 N CAPITAL OF TEXAS HWY NB BLDG 2, Chattanooga, TN",Electrical Permit,$176123
2025-141753 PP,"4607 BALCONES DR, Chattanooga, TN",Plumbing Permit,$75647
2024-045887 PP,"5203 STAR LIGHT TER--DEMO, Chattanooga, TN",Plumbing Permit,$265732
2025-141474 BP,"300 W MOCKINGBIRD LN BLDG 2, Chattanooga, TN",Building Permit,$159177
2025-141627 PP,"5901 BACK BAY LN, Chattanooga, TN",Plumbing Permit,$246617
2025-143251 EP,"2103 GREENWOOD AVE BLDG 2, Chattanooga, TN",Electrical Permit,$203242
2024-125852 EP,"200 W 56TH ST UNIT 5103, Chattanooga, TN",Electrical Permit,$265366
2025-142113 PP,"4002 EDGEMONT DR, Chattanooga, TN",Plumbing Permit,$216757
2025-139431 EP,"1911 SCOFIELD LN, Chattanooga, TN",Electrical Permit,$90307
2025-140596 EP,"314 PLEASANT DR, Chattanooga, TN",Electrical Permit,$228043
2025-124980 EP,"706 E 46TH ST, Chattanooga, TN",Electrical Permit,$80721
2025-086280 PP,"9835 NORTH LAKE CREEK PKWY UNIT 510, Chattanooga, TN",Plumbing Permit,$194393
2025-133942 MP,"10900 RESEARCH BLVD SVRD SB UNIT C-150, Chattanooga, TN",Mechanical Permit,$104274
2025-142435 BP,"98 SAN JACINTO BLVD UNIT FSR1007, Chattanooga, TN",Building Permit,$141880
2024-125850 EP,"200 W 56TH ST UNIT 5101, Chattanooga, TN",Electrical Permit,$76236
2025-141073 EP,"8010 LITTLE DEER XING, Chattanooga, TN",Electrical Permit,$226637
2025-141306 EP,"7103 RUNNING ROPE, Chattanooga, TN",Electrical Permit,$283723
2025-141943 BP,"1715 KIT CIR, Chattanooga, TN",Building Permit,$189890
2025-141142 PP,"9717 N LAMAR BLVD BLDG B UNIT 7, Chattanooga, TN",Plumbing Permit,$109934
2025-143195 BP,"2218 RIVERVIEW ST, Chattanooga, TN",Building Permit,$60719
2025-125199 BP,"504 LONE OAK DR, Chattanooga, TN",Building Permit,$205256
2025-143582 BP,"3417 LONG DAY DR, Chattanooga, TN",Building Permit,$131850
2025-143983 BP,"8301 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$262447
2025-118477 BP,"2611 DEERFOOT TRL, Chattanooga, TN",Building Permit,$150076
2025-101785 EP,"9111 CIRCUIT OF THE AMERICAS BLVD, Chattanooga, TN",Electrical Permit,$242187
2025-142568 MP,"11821 BITTERN HOLW UNIT 9, Chattanooga, TN",Mechanical Permit,$83462
2024-097401 EP,"409 W MONROE ST, Chattanooga, TN",Electrical Permit,$58197
2025-142487 EP,"12107 WANDER LN, Chattanooga, TN",Electrical Permit,$60401
2025-143145 DS,"2005 RIVERVIEW ST BLDG 1, Chattanooga, TN",Driveway / Sidewalks,$261336
2025-143569 BP,"3309 HARVEST TIME CV, Chattanooga, TN",Building Permit,$241099
2025-140784 PP,"4530 CLAWSON RD BLDG 1, Chattanooga, TN",Plumbing Permit,$81662
2025-141681 MP,"3905 DOMINION CV, Chattanooga, TN",Mechanical Permit,$153316
2025-142471 EP,"9049 VIGEN CIR, Chattanooga, TN",Electrical Permit,$132402
2025-143984 BP,"8301 JOHNNY MORRIS RD BLDG CP7, Chattanooga, TN",Building Permit,$143817
2025-143188 PP,"1624 E HOWARD LN, Chattanooga, TN",Plumbing Permit,$272791
2025-143969 BP,"8301 JOHNNY MORRIS RD BLDG 5, Chattanooga, TN",Building Permit,$83533
2025-143980 BP,"8301 JOHNNY MORRIS RD BLDG CP4, Chattanooga, TN",Building Permit,$88209
2025-141591 EP,"9501 WIGGY WAY, Chattanooga, TN",Electrical Permit,$56377
2025-141440 MP,"11511 PYRENEESE DR, Chattanooga, TN",Mechanical Permit,$54073
2025-143979 BP,"8301 JOHNNY MORRIS RD BLDG CP3, Chattanooga, TN",Building Permit,$147623
2025-086457 MP,"8400 RESEARCH BLVD SVRD SB, Chattanooga, TN",Mechanical Permit,$211478
2025-142501 PP,"4011 BUNNY RUN, Chattanooga, TN",Plumbing Permit,$130627
2025-143978 BP,"8301 JOHNNY MORRIS RD BLDG DP2, Chattanooga, TN",Building Permit,$232749
2025-142716 PP,"7413 CREPE MYRTLE DR, Chattanooga, TN",Plumbing Permit,$64719
2023-140720 DS,"2005 RIVERVIEW ST, Chattanooga, TN",Driveway / Sidewalks,$97739
2025-139582 MP,"7503 BLUE BEACH CV, Chattanooga, TN",Mechanical Permit,$199040
2025-143999 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$258778
2025-143974 BP,"8301 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$252543
2025-122397 MP,"8109 ELKHORN MOUNTAIN TRL, Chattanooga, TN",Mechanical Permit,$50321
2025-143502 EP,"12020 MURANO DR, Chattanooga, TN",Electrical Permit,$176328
2025-140276 EP,"12412 MALLARD LN, Chattanooga, TN",Electrical Permit,$88706
2025-143996 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$131149
2025-143988 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$275282
2025-141593 EP,"9501 DINGO DR, Chattanooga, TN",Electrical Permit,$251524
2025-143931 BP,"6108 LARCH TER, Chattanooga, TN",Building Permit,$122651
2025-143619 BP,"766 LATTERIDGE DR, Chattanooga, TN",Building Permit,$146696
2025-143975 BP,"8301 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$287629
2025-141443 PP,"2406 ARPDALE ST, Chattanooga, TN",Plumbing Permit,$276459
2025-139862 BP,"401 CONGRESS AVE UNIT FLR32, Chattanooga, TN",Building Permit,$273993
2025-143998 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$231037
2025-143976 BP,"8301 JOHNNY MORRIS RD BLDG CP5, Chattanooga, TN",Building Permit,$200523
2025-143663 EP,"4705 PEWTER LN, Chattanooga, TN",Electrical Permit,$77204
2025-144063 PP,"2208 INDIAN TRL BLDG A, Chattanooga, TN",Plumbing Permit,$145215
2025-142368 PP,"7920 COMFORT CV, Chattanooga, TN",Plumbing Permit,$89416
2025-111007 MP,"3401 WEBBERVILLE RD, Chattanooga, TN",Mechanical Permit,$152965
2025-143925 PP,"4410 SPEEDWAY BLDG A, Chattanooga, TN",Plumbing Permit,$200908
2025-143038 MP,"9016 PEAFOWL ST, Chattanooga, TN",Mechanical Permit,$90939
2025-143989 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$109344
2025-143089 BP,"2509 TARRYHILL PL, Chattanooga, TN",Building Permit,$74442
2025-143993 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$64665
2025-143534 BP,"1507 PARKWAY, Chattanooga, TN",Building Permit,$234610
2025-140836 PP,"4500 DOVEHILL DR, Chattanooga, TN",Plumbing Permit,$215991
2025-121132 EP,"12508 DEER FALLS DR, Chattanooga, TN",Electrical Permit,$107004
2025-074160 BP,"2611 DEERFOOT TRL, Chattanooga, TN",Building Permit,$170133
2025-143242 BP,"10021 MOUNT RAINIER DR, Chattanooga, TN",Building Permit,$80504
2025-143373 EP,"508 SEMINOLE DR, Chattanooga, TN",Electrical Permit,$119757
2025-143190 PP,"9201 BRODIE LN BLDG 38 UNIT 3803, Chattanooga, TN",Plumbing Permit,$136033
2025-140691 EP,"16407 KIDD LN, Chattanooga, TN",Electrical Permit,$234432
2025-111868 MP,"6320 ED BLUESTEIN BLVD SB, Chattanooga, TN",Mechanical Permit,$222758
2025-144105 BP,"6800 MEADOW CIR, Chattanooga, TN",Building Permit,$87780
2025-142112 EP,"1701 BROADMOOR DR, Chattanooga, TN",Electrical Permit,$271133
2025-143970 BP,"8301 JOHNNY MORRIS RD BLDG CP4, Chattanooga, TN",Building Permit,$178016
2025-141899 PP,"4407 GANYMEDE DR, Chattanooga, TN",Plumbing Permit,$102027
2025-143899 BP,"6805 STONLEIGH PL, Chattanooga, TN",Building Permit,$246052
2025-143971 BP,"8301 JOHNNY MORRIS RD BLDG CANOPY1, Chattanooga, TN",Building Permit,$164279
2025-143968 BP,"8301 JOHNNY MORRIS RD BLDG 4, Chattanooga, TN",Building Permit,$83578
2025-144004 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$262673
2025-142066 PP,"14100 AVERY RANCH BLVD UNIT 1102, Chattanooga, TN",Plumbing Permit,$275795
2025-143991 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$100087
2025-120865 PP,"4507 HANK AVE, Chattanooga, TN",Plumbing Permit,$62722
2025-142530 EP,"17208 WIND CHIME DR, Chattanooga, TN",Electrical Permit,$81655
2025-143990 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$200041
2025-133324 PP,"11917 MURANO DR, Chattanooga, TN",Plumbing Permit,$121116
2025-143992 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$159202
2025-143313 PP,"12611 CEDAR ST, Chattanooga, TN",Plumbing Permit,$107764
2025-141082 EP,"500 MAIRO ST, Chattanooga, TN",Electrical Permit,$85686
2025-138130 MP,"8808 GOLDEN LION DR, Chattanooga, TN",Mechanical Permit,$114817
2025-140990 MP,"1112 W BEN WHITE BLVD SVRD WB UNIT 400, Chattanooga, TN",Mechanical Permit,$243566
2025-143758 EP,"311 E 5TH ST, Chattanooga, TN",Electrical Permit,$285982
2025-144165 PP,"2206 BLUE MEADOW DR, Chattanooga, TN",Plumbing Permit,$162861
2025-143613 BP,"2306 ROGGE LN, Chattanooga, TN",Building Permit,$78062
2025-139584 DS,"1141 1/2 GUNTER ST, Chattanooga, TN",Driveway / Sidewalks,$105948
2025-097000 EP,"2213 DEADWOOD DR, Chattanooga, TN",Electrical Permit,$54685
2025-139189 PP,"1604 GARDEN ST, Chattanooga, TN",Plumbing Permit,$106055
2025-143551 PP,"12611 N MOPAC EXPY SVRD NB, Chattanooga, TN",Plumbing Permit,$105770
2025-128765 EP,"2100 MOUNTAIN VIEW RD UNIT B, Chattanooga, TN",Electrical Permit,$190214
2025-142607 BP,"6206 PONCA ST, Chattanooga, TN",Building Permit,$90569
2022-177000 PP,"3005 WESTLAKE DR, Chattanooga, TN",Plumbing Permit,$220421
2025-142935 EP,"8301 1/2 JOHNNY MORRIS RD, Chattanooga, TN",Electrical Permit,$238862
2025-133353 DS,"1713 PIEDMONT AVE, Chattanooga, TN",Driveway / Sidewalks,$130379
2025-142048 PP,"8612 MILLWAY DR, Chattanooga, TN",Plumbing Permit,$132797
2025-141586 EP,"9217 CALVERT WAY, Chattanooga, TN",Electrical Permit,$264685
2025-128764 EP,"2100 MOUNTAIN VIEW RD UNIT A, Chattanooga, TN",Electrical Permit,$157173
2025-141890 EP,"2330 S LAMAR BLVD, Chattanooga, TN",Electrical Permit,$256261
2025-140831 PP,"2303 BITTER CREEK DR, Chattanooga, TN",Plumbing Permit,$251512
2025-143986 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$101800
2025-138878 EP,"3406 BANTON RD, Chattanooga, TN",Electrical Permit,$278379
2025-142633 BP,"4606 AVENUE H, Chattanooga, TN",Building Permit,$239811
2025-144003 BP,"8001 JOHNNY MORRIS RD, Chattanooga, TN",Building Permit,$175145
