permit_number,address,type,value
2025-144886 MP,"6911 OLD QUARRY LN, Nashville, TN",Mechanical Permit,$219309
2025-144543 BP,"8104 CROFTWOOD DR, Nashville, TN",Building Permit,$240602
2024-010349 MP,"13023 HEMA DR BLDG GAR5, Nashville, TN",Mechanical Permit,$186645
2025-146186 BP,"15512 FERNHILL DR, Nashville, TN",Building Permit,$272378
2022-041648 PP,"9500 W PARMER LN BLDG 2, Nashville, TN",Plumbing Permit,$199518
2023-108157 EP,"5501 AIRPORT BLVD, Nashville, TN",Electrical Permit,$54521
2025-135520 MP,"8301 JOHNNY MORRIS ROAD Bldg 4, Nashville, TN",Mechanical Permit,$202930
2025-063008 BP,"2211 ALLRED DR, Nashville, TN",Building Permit,$128655
2025-145523 PP,"11806 BROOKWOOD RD, Nashville, TN",Plumbing Permit,$222304
2025-136438 BP,"2904 PALM WAY UNIT FLR16, Nashville, TN",Building Permit,$74593
2025-145813 PP,"6815 VILLITA AVENIDA, Nashville, TN",Plumbing Permit,$52871
2025-144951 EP,"13207 RAMPART ST, Nashville, TN",Electrical Permit,$258717
2025-145432 BP,"8017 CARDIN DR, Nashville, TN",Building Permit,$284525
2025-129922 EP,"5013 TRADING BND, Nashville, TN",Electrical Permit,$289778
2025-115159 EP,"1720 LAWRENCE ST, Nashville, TN",Electrical Permit,$67356
2025-139847 BP,"1307 W 12TH ST BLDG B, Nashville, TN",Building Permit,$103870
2025-141164 EP,"3027 SUNRIDGE DR, Nashville, TN",Electrical Permit,$114714
2025-144409 EP,"2702 LITTLE JOHN LN, Nashville, TN",Electrical Permit,$266929
2025-141953 DS,"8600-9022 CULLEN LN, Nashville, TN",Driveway / Sidewalks,$208276
2025-143752 PP,"4912 BARKBRIDGE TRL, Nashville, TN",Plumbing Permit,$211384
2025-138205 BP,"6800 BURLESON RD BLDG 312 UNIT 165, Nashville, TN",Building Permit,$83645
2024-162283 PP,"1504 CRESTWOOD RD, Nashville, TN",Plumbing Permit,$167402
2025-137967 MP,"9000 FALLKILL DR, Nashville, TN",Mechanical Permit,$237077
2025-142852 PP,"6304 LONDON DR, Nashville, TN",Plumbing Permit,$212441
2024-084741 EP,"1310 LBJ WAY UNIT FW2, Nashville, TN",Electrical Permit,$86264
2025-144986 PP,"6602 WILLAMETTE DR, Nashville, TN",Plumbing Permit,$158202
2025-145711 BP,"3920 GLENGARRY DR, Nashville, TN",Building Permit,$284948
2025-145066 MP,"204 E LISA DR, Nashville, TN",Mechanical Permit,$145188
2025-048219 PP,"13207 STABLER DR, Nashville, TN",Plumbing Permit,$84070
2025-144980 PP,"6803 MESA DR, Nashville, TN",Plumbing Permit,$276024
2025-144520 BP,"3103 GARWOOD ST BLDG 1, Nashville, TN",Building Permit,$277628
2025-141096 BP,"1818 W ST JOHNS AVE, Nashville, TN",Building Permit,$150439
2025-106534 EP,"4600 SINCLAIR AVE, Nashville, TN",Electrical Permit,$234342
2025-144111 BP,"3305 BONNIE RD, Nashville, TN",Building Permit,$162616
2025-143839 PP,"8206 ALCORN CIR, Nashville, TN",Plumbing Permit,$289846
2025-144994 MP,"3408 ROBINSON AVE, Nashville, TN",Mechanical Permit,$127753
2025-141885 BP,"5405 ROSE HILL CIR, Nashville, TN",Building Permit,$197758
2025-144774 BP,"3724 EXECUTIVE CENTER DR UNIT 210, Nashville, TN",Building Permit,$63066
2025-145810 BP,"7312 JOURNEYVILLE DR, Nashville, TN",Building Permit,$167439
2025-124692 BP,"2605 SOL WILSON AVE, Nashville, TN",Building Permit,$152331
2022-168679 PP,"4801 WOODVIEW AVE, Nashville, TN",Plumbing Permit,$112800
2025-137959 BP,"9803 NIGHTJAR DR, Nashville, TN",Building Permit,$185491
2025-139639 PP,"1510 HARTFORD RD, Nashville, TN",Plumbing Permit,$291747
2025-144802 EP,"8812 MARMOSET WAY, Nashville, TN",Electrical Permit,$134944
2025-144596 PP,"14309 MATTEROD DR, Nashville, TN",Plumbing Permit,$73286
2025-144957 MP,"2210 GREENLEE DR, Nashville, TN",Mechanical Permit,$297409
2025-133766 EP,"2301 E 2ND ST BLDG 2, Nashville, TN",Electrical Permit,$156883
2025-100144 PP,"9209 CORVALLIS DR, Nashville, TN",Plumbing Permit,$175643
2025-145024 PP,"9703 BEAUCHAMP SQ, Nashville, TN",Plumbing Permit,$295373
2025-135038 PP,"1100 S LAMAR BLVD BLDG 2 UNIT 2140, Nashville, TN",Plumbing Permit,$121576
2025-141478 BP,"1407 GASTON AVE, Nashville, TN",Building Permit,$292124
2025-136438 EP,"2904 PALM WAY UNIT FLR16, Nashville, TN",Electrical Permit,$115477
2025-136124 PP,"5100 BUFFALO PASS, Nashville, TN",Plumbing Permit,$148382
2025-144104 BP,"8512 ROCKWOOD LN, Nashville, TN",Building Permit,$223934
2025-130382 PP,"2730 E 7TH ST, Nashville, TN",Plumbing Permit,$150293
2025-145049 PP,"7006 STITZEL WELLER DR, Nashville, TN",Plumbing Permit,$240483
2025-143560 PP,"1708 GRACY FARMS LN, Nashville, TN",Plumbing Permit,$277545
2025-140817 EP,"8808 GOLDEN LION DR, Nashville, TN",Electrical Permit,$168208
2025-145020 PP,"103 E 30TH ST BLDG 3, Nashville, TN",Plumbing Permit,$261395
2025-135129 EP,"1802 CLIFFWOOD DR, Nashville, TN",Electrical Permit,$147802
2025-142868 EP,"2718 DEERINGHILL DR, Nashville, TN",Electrical Permit,$205332
2025-115156 EP,"1720 LAWRENCE ST, Nashville, TN",Electrical Permit,$175886
2025-143233 BP,"2103 TOWER DR, Nashville, TN",Building Permit,$218647
2025-143965 EP,"614 1/2 CONGRESS AVE, Nashville, TN",Electrical Permit,$212881
2025-145757 BP,"5715 SAM HOUSTON CIR, Nashville, TN",Building Permit,$250150
2025-044749 MP,"7116 STITZEL WELLER DR, Nashville, TN",Mechanical Permit,$128754
2025-145004 PP,"1314 FALCON LEDGE DR UNIT 113, Nashville, TN",Plumbing Permit,$230942
2025-145206 BP,"2113 ALLRED DR, Nashville, TN",Building Permit,$82542
2025-048196 MP,"13205 STABLER DR, Nashville, TN",Mechanical Permit,$227674
2025-144798 EP,"8808 MARMOSET WAY, Nashville, TN",Electrical Permit,$72926
2025-134776 EP,"4702 ROUNDUP TRL, Nashville, TN",Electrical Permit,$289850
2025-145085 PP,"831 SPRINGDALE RD, Nashville, TN",Plumbing Permit,$220004
2025-141658 EP,"12012 MIRA MESA DR, Nashville, TN",Electrical Permit,$290699
2025-145467 BP,"7171 SOUTHWEST PKWY BLDG B300 UNIT 475, Nashville, TN",Building Permit,$274040
2025-144447 MP,"6801 HITCHING POST CIR, Nashville, TN",Mechanical Permit,$224886
2025-056374 MP,"2603 RICHCREEK RD, Nashville, TN",Mechanical Permit,$170073
2025-144661 PP,"9333 EVENING PRIMROSE PATH, Nashville, TN",Plumbing Permit,$258545
2025-144992 MP,"5705 ADAMS AVE BLDG 2, Nashville, TN",Mechanical Permit,$224205
2025-145591 PP,"1505 MOUNT LARSON RD, Nashville, TN",Plumbing Permit,$143453
2025-142858 MP,"2404 ALLRED DR UNIT A, Nashville, TN",Mechanical Permit,$97164
2025-135521 MP,"8001 JOHNNY MORRIS RD BLDG 3, Nashville, TN",Mechanical Permit,$75114
2025-106713 BP,"9001 BRIARDALE DR, Nashville, TN",Building Permit,$109380
2025-089724 PP,"6507 HERGOTZ LN, Nashville, TN",Plumbing Permit,$193205
2025-086280 MP,"9835 NORTH LAKE CREEK PKWY UNIT 510, Nashville, TN",Mechanical Permit,$77671
2025-144865 BP,"1705 KIT CIR, Nashville, TN",Building Permit,$180458
2024-084740 EP,"1310 LBJ WAY UNIT FW1, Nashville, TN",Electrical Permit,$123170
2025-144695 EP,"14025 AXEL JOHANSON DR, Nashville, TN",Electrical Permit,$135790
2025-015505 PP,"1717 ROCKBRIDGE TER, Nashville, TN",Plumbing Permit,$93907
2025-144699 EP,"14122 EDNA MAXINE WALK, Nashville, TN",Electrical Permit,$123232
2025-145910 BP,"4330 AIRPORT BLVD BLDG 1, Nashville, TN",Building Permit,$70579
2025-133767 EP,"2303 E 2ND ST--BLDG 3, Nashville, TN",Electrical Permit,$145845
2025-144630 BP,"7000 DECKER LN, Nashville, TN",Building Permit,$294975
2025-135690 PP,"10206 SPICEWOOD MESA, Nashville, TN",Plumbing Permit,$254061
2025-136790 BP,"523 THOMPSON LN, Nashville, TN",Building Permit,$297202
2025-144439 MP,"3811 HAWKSHEAD DR, Nashville, TN",Mechanical Permit,$100696
2025-135788 PP,"8610 BASIL HAYDEN LN, Nashville, TN",Plumbing Permit,$298977
2025-145941 BP,"11100 AVERING LN, Nashville, TN",Building Permit,$245263
2025-129419 BP,"2614 BRISBANE RD, Nashville, TN",Building Permit,$164334
2025-108412 EP,"4430 MENCHACA RD, Nashville, TN",Electrical Permit,$60014
2025-143651 EP,"2705 LITTLE JOHN LN, Nashville, TN",Electrical Permit,$246437
2025-134884 EP,"12500 TECH RIDGE BLVD, Nashville, TN",Electrical Permit,$96974
2025-033931 MP,"1818 PIEDMONT AVE, Nashville, TN",Mechanical Permit,$83729
2025-142860 EP,"2217 KLATTENHOFF DR, Nashville, TN",Electrical Permit,$171411
2025-145037 MP,"7501 KOLACHE CV, Nashville, TN",Mechanical Permit,$149631
2025-145005 MP,"2201 THORNWILD PASS, Nashville, TN",Mechanical Permit,$260341
2025-145921 BP,"1904 PALO DURO RD, Nashville, TN",Building Permit,$242520
2025-140256 PP,"4808 WOODVIEW AVE, Nashville, TN",Plumbing Permit,$174821
2025-145911 BP,"4330 AIRPORT BLVD BLDG 2, Nashville, TN",Building Permit,$232272
2025-138960 EP,"4905 SUNSET TRL, Nashville, TN",Electrical Permit,$133060
2025-130385 PP,"2730 E 7TH ST, Nashville, TN",Plumbing Permit,$124461
2025-114839 BP,"1816 ADINA ST BLDG 2, Nashville, TN",Building Permit,$90433
2025-115158 EP,"1720 LAWRENCE ST, Nashville, TN",Electrical Permit,$145233
2025-145340 MP,"2326 LAKEHURST DR, Nashville, TN",Mechanical Permit,$259221
2025-130383 PP,"2730 E 7TH ST, Nashville, TN",Plumbing Permit,$106947
2025-048219 MP,"13207 STABLER DR, Nashville, TN",Mechanical Permit,$203471
2025-144859 MP,"5209 LUCAS LN, Nashville, TN",Mechanical Permit,$154450
2025-130386 PP,"2730 E 7TH ST BLDG GAR, Nashville, TN",Plumbing Permit,$136150
2025-066701 PP,"907 E RIVERSIDE DR, Nashville, TN",Plumbing Permit,$205400
2025-145813 BP,"6815 VILLITA AVENIDA, Nashville, TN",Building Permit,$153023
2025-144478 EP,"2907 BEANNA ST UNIT 2, Nashville, TN",Electrical Permit,$209165
2025-144559 PP,"14305 MATTEROD DR, Nashville, TN",Plumbing Permit,$226324
2025-146314 MP,"1707 WESTMOOR DR, Nashville, TN",Mechanical Permit,$217018
2025-143572 PP,"13416 RIDING DR, Nashville, TN",Plumbing Permit,$69823
2025-125373 EP,"507 PRESSLER ST UNIT 900, Nashville, TN",Electrical Permit,$214480
2025-022361 PP,"2502 COLBY CV, Nashville, TN",Plumbing Permit,$100017
2025-144521 BP,"3103 GARWOOD ST BLDG 2, Nashville, TN",Building Permit,$271802
2025-105481 EP,"7877 LAKEWOOD DR, Nashville, TN",Electrical Permit,$123201
2024-084742 EP,"1310 LBJ WAY UNIT FW3, Nashville, TN",Electrical Permit,$269970
2025-146349 PP,"6905 CROSBY CIR UNIT 12, Nashville, TN",Plumbing Permit,$297195
2025-144511 EP,"2611 DEERFOOT TRL, Nashville, TN",Electrical Permit,$235578
2025-144985 MP,"6405 LOST HORIZON DR, Nashville, TN",Mechanical Permit,$73718
2025-139677 EP,"7600 WORDHAM DR, Nashville, TN",Electrical Permit,$60651
2025-130384 PP,"2730 E 7TH ST, Nashville, TN",Plumbing Permit,$276582
2025-049867 MP,"7100 STITZEL WELLER DR, Nashville, TN",Mechanical Permit,$292204
2025-144929 EP,"4806 MISTY BROOK CV, Nashville, TN",Electrical Permit,$275883
2025-097000 PP,"2213 DEADWOOD DR, Nashville, TN",Plumbing Permit,$217032
2024-141442 BP,"9701 STONELAKE BLVD, Nashville, TN",Building Permit,$89908
2025-145990 BP,"8 ROYAL PALMS DR, Nashville, TN",Building Permit,$59484
2025-146314 BP,"1707 WESTMOOR DR, Nashville, TN",Building Permit,$250997
2025-113816 EP,"514 UPSON ST, Nashville, TN",Electrical Permit,$285299
2025-145051 PP,"8302 LOS RANCHOS DR, Nashville, TN",Plumbing Permit,$263001
2022-178274 EP,"2141 BARTON HILLS DR, Nashville, TN",Electrical Permit,$149271
2025-133765 EP,"2301 E 2ND ST BLDG 1, Nashville, TN",Electrical Permit,$82337
2025-133274 MP,"7507 BOYD HAVEN DR UNIT B, Nashville, TN",Mechanical Permit,$135763
2025-143179 EP,"6211 VERA LN, Nashville, TN",Electrical Permit,$277948
2025-141095 BP,"1818 W ST JOHNS AVE, Nashville, TN",Building Permit,$299938
2025-133764 EP,"111 MILDRED ST BLDG 3, Nashville, TN",Electrical Permit,$153462
2025-139117 PP,"8925 BREEZE HILL DR, Nashville, TN",Plumbing Permit,$224459
2025-144592 PP,"1503 SPRING GARDEN RD, Nashville, TN",Plumbing Permit,$202846
2025-136076 PP,"8302 CAYUGA DR, Nashville, TN",Plumbing Permit,$269648
2025-144948 PP,"13207 RAMPART ST, Nashville, TN",Plumbing Permit,$93717
2025-130056 PP,"10901 N LAMAR BLVD UNIT 103, Nashville, TN",Plumbing Permit,$279773
2025-144739 EP,"14116 EDNA MAXINE WALK, Nashville, TN",Electrical Permit,$166675
2025-140746 EP,"6102 FLATROCK LN, Nashville, TN",Electrical Permit,$275458
2025-075664 MP,"1801 LAVACA ST UNIT 9K, Nashville, TN",Mechanical Permit,$63182
2025-143250 PP,"2617 TOWY RD, Nashville, TN",Plumbing Permit,$178339
2025-144697 EP,"14021 AXEL JOHANSON DR, Nashville, TN",Electrical Permit,$149365
2025-144393 EP,"4823 CALHOUN CANYON LOOP, Nashville, TN",Electrical Permit,$110931
2025-145950 BP,"10925 SHORT SPRINGS DR, Nashville, TN",Building Permit,$152876
2025-144389 EP,"72 ST STEPHENS SCHOOL RD, Nashville, TN",Electrical Permit,$212523
2025-131928 BP,"6203 BRIDLINGTON CIR, Nashville, TN",Building Permit,$121692
2025-066760 PP,"9208 THE RAVINE WAY, Nashville, TN",Plumbing Permit,$247673
2025-146042 BP,"5203 HALMARK DR, Nashville, TN",Building Permit,$81176
2025-115160 EP,"1720 LAWRENCE ST, Nashville, TN",Electrical Permit,$65948
2025-146454 EP,"15707 WILDWOOD TRL, Nashville, TN",Electrical Permit,$182189
2025-144737 EP,"14120 EDNA MAXINE WALK, Nashville, TN",Electrical Permit,$123785
2025-129711 BP,"7711 SHADYROCK DR, Nashville, TN",Building Permit,$277864
2025-141847 BP,"1512 W KOENIG LN, Nashville, TN",Building Permit,$271288
2025-140511 BP,"10001 1/2 N IH 35 SVRD NB, Nashville, TN",Building Permit,$108952
2025-146187 BP,"7200 GREENOCK ST, Nashville, TN",Building Permit,$263772
2025-135865 BP,"4516 SETON CENTER PKWY UNIT 350, Nashville, TN",Building Permit,$125206
2025-145932 PP,"2500 CHAPARRAL TRL, Nashville, TN",Plumbing Permit,$228426
2025-048196 PP,"13205 STABLER DR, Nashville, TN",Plumbing Permit,$282952
2025-143830 PP,"2119 RABB RD, Nashville, TN",Plumbing Permit,$164323
2025-146224 BP,"4100 E 51ST ST UNIT 300, Nashville, TN",Building Permit,$53658
2025-114295 EP,"48 WALLER ST--POOL, Nashville, TN",Electrical Permit,$249085
2025-144380 EP,"3309 THOUSAND OAKS CV, Nashville, TN",Electrical Permit,$104477
2025-100144 MP,"9209 CORVALLIS DR, Nashville, TN",Mechanical Permit,$107693
2025-142150 BP,"6101 HYSIDE DR, Nashville, TN",Building Permit,$235831
2025-130897 BP,"7208 BOYLE DR, Nashville, TN",Building Permit,$210000
2025-138955 EP,"2301 W 11TH ST, Nashville, TN",Electrical Permit,$149774
2025-145391 BP,"3814 ARROW DR, Nashville, TN",Building Permit,$147607
2025-132773 BP,"1821 DAPPLEGREY LN, Nashville, TN",Building Permit,$291807
2024-109380 EP,"2420 ARION CIR, Nashville, TN",Electrical Permit,$106541
2025-075495 PP,"7000 ARDATH ST, Nashville, TN",Plumbing Permit,$235389
2025-030639 DS,"1141 1/2 GUNTER ST, Nashville, TN",Driveway / Sidewalks,$286725
2025-145434 BP,"9004 FALLKILL DR, Nashville, TN",Building Permit,$52413
2025-145039 PP,"1209 ROMERIA DR, Nashville, TN",Plumbing Permit,$263934
2025-134848 BP,"5001 WESTVIEW DR, Nashville, TN",Building Permit,$207406
2025-144954 MP,"405 LIGHTSEY RD, Nashville, TN",Mechanical Permit,$71522
2025-144734 BP,"201 COLORADO ST, Nashville, TN",Building Permit,$190900
2025-144546 MP,"1308 RIDGEHAVEN DR, Nashville, TN",Mechanical Permit,$69527
2025-144977 MP,"8813 MOUNTAIN SHADOWS CV UNIT A, Nashville, TN",Mechanical Permit,$57114
2025-143266 PP,"2512 PALO VERDE DR, Nashville, TN",Plumbing Permit,$219556
2025-145711 PP,"3920 GLENGARRY DR, Nashville, TN",Plumbing Permit,$256764
2025-144470 DS,"3116 PRADO ST, Nashville, TN",Driveway / Sidewalks,$160702
2025-146019 PP,"5706 JIM HOGG AVE, Nashville, TN",Plumbing Permit,$225041
2025-144523 BP,"3103 GARWOOD ST BLDG 3, Nashville, TN",Building Permit,$199216
2025-143657 EP,"12007 TECHNOLOGY BLVD, Nashville, TN",Electrical Permit,$87969
2025-145390 BP,"1507 PARKWAY, Nashville, TN",Building Permit,$86832
2025-145958 BP,"3012 ROCHELLE DR, Nashville, TN",Building Permit,$287470
2025-144735 PP,"8502 CORNWALL DR, Nashville, TN",Plumbing Permit,$105100
2025-121866 BP,"11101 SANDSTONE TRL, Nashville, TN",Building Permit,$268905
2025-144829 BP,"1612 ASTOR PL, Nashville, TN",Building Permit,$171210
2025-145253 PP,"5015 TRAIL WEST DR, Nashville, TN",Plumbing Permit,$63133
2025-142149 EP,"7105 N IH 35 SVRD NB, Nashville, TN",Electrical Permit,$72859
2025-145326 EP,"2509 RIDGEVIEW ST, Nashville, TN",Electrical Permit,$247664
2025-144193 PP,"8513 DONGAN DR, Nashville, TN",Plumbing Permit,$89093
2025-115585 EP,"2514 WILSON ST BLDG 1, Nashville, TN",Electrical Permit,$166865
2025-138713 PP,"1904 SHARON LN, Nashville, TN",Plumbing Permit,$269468
2025-135418 PP,"2834 PEARL ST, Nashville, TN",Plumbing Permit,$192426
2025-147019 EP,"11913 ELLENA CV, Nashville, TN",Electrical Permit,$205893
2025-143444 DS,"4807 BERGFIELD DR, Nashville, TN",Driveway / Sidewalks,$154356
2025-136534 PP,"3311 HYCREEK DR, Nashville, TN",Plumbing Permit,$128118
2025-146343 PP,"12211 TECHNOLOGY BLVD, Nashville, TN",Plumbing Permit,$102569
2024-130625 MP,"2516 WINCHELL LN, Nashville, TN",Mechanical Permit,$187008
2025-144191 PP,"8511 DONGAN DR, Nashville, TN",Plumbing Permit,$54054
2025-146330 MP,"6113 BULLARD DR UNIT 1, Nashville, TN",Mechanical Permit,$266725
2025-144194 PP,"8515 DONGAN DR, Nashville, TN",Plumbing Permit,$230162
2025-145934 PP,"10500 AVERY CLUB DR BLDG 24, Nashville, TN",Plumbing Permit,$216318
2025-109423 BP,"1111 RED RIVER ST, Nashville, TN",Building Permit,$262613
2025-130739 EP,"12636 RESEARCH BLVD SVRD SB, Nashville, TN",Electrical Permit,$283616
2025-142150 EP,"6101 HYSIDE DR, Nashville, TN",Electrical Permit,$218441
2025-113754 PP,"1804 E 22ND ST--UNIT 2B, Nashville, TN",Plumbing Permit,$76842
2025-146964 BP,"6914 SHANNON DR, Nashville, TN",Building Permit,$174616
2025-138713 BP,"1904 SHARON LN, Nashville, TN",Building Permit,$67922
2025-135788 EP,"8610 BASIL HAYDEN LN, Nashville, TN",Electrical Permit,$86458
2025-143931 PP,"6108 LARCH TER, Nashville, TN",Plumbing Permit,$217940
2025-145979 BP,"2726 KINNEY OAKS CT, Nashville, TN",Building Permit,$84828
2025-146132 PP,"2602 LANSBURY DR, Nashville, TN",Plumbing Permit,$187936
2025-146252 BP,"901 E ST JOHNS AVE, Nashville, TN",Building Permit,$245532
2025-143215 EP,"10411 MARGRA LN, Nashville, TN",Electrical Permit,$122940
2025-138564 EP,"1808 REDLANDS ST, Nashville, TN",Electrical Permit,$93771
2025-143765 PP,"5453 BURNET RD BLDG A UNIT 203, Nashville, TN",Plumbing Permit,$256965
2025-145618 BP,"2903 HILLVIEW RD UNIT 2, Nashville, TN",Building Permit,$298912
2025-145322 PP,"7805 PACES MILL LN, Nashville, TN",Plumbing Permit,$93895
2025-145062 PP,"2705 WARREN ST, Nashville, TN",Plumbing Permit,$82929
2025-140799 BP,"1207 PEREZ ST, Nashville, TN",Building Permit,$160782
2025-146658 EP,"11701 FM 812 RD UNIT D, Nashville, TN",Electrical Permit,$269139
2025-144804 EP,"8814 MARMOSET WAY, Nashville, TN",Electrical Permit,$201042
2025-145258 MP,"9006 SLAYTON DR, Nashville, TN",Mechanical Permit,$115992
2025-134693 PP,"1117 ETERNITY TER, Nashville, TN",Plumbing Permit,$98456
2025-145798 EP,"5907 UPVALLEY RUN, Nashville, TN",Electrical Permit,$266718
2025-146445 PP,"5309 PALO BLANCO LN, Nashville, TN",Plumbing Permit,$145070
2025-143409 PP,"3313 STEVENSON AVE, Nashville, TN",Plumbing Permit,$116434
2025-020731 PP,"10202 EPSILON WAY, Nashville, TN",Plumbing Permit,$92890
2025-145125 PP,"1700 HOUSTON ST, Nashville, TN",Plumbing Permit,$136103
2025-138721 PP,"2908 STONEWAY DR, Nashville, TN",Plumbing Permit,$167343
2025-071012 EP,"8601 ARACARI CV, Nashville, TN",Electrical Permit,$70359
2025-124436 PP,"401 CONGRESS AVE UNIT 1100, Nashville, TN",Plumbing Permit,$243490
2025-043138 MP,"4412 S 1ST ST BLDG 2, Nashville, TN",Mechanical Permit,$282090
2025-145518 PP,"6009 GROVER AVE, Nashville, TN",Plumbing Permit,$190021
2025-145991 BP,"1901 BRACKENRIDGE ST, Nashville, TN",Building Permit,$76603
2025-113893 EP,"401 CONGRESS AVE UNIT 2075, Nashville, TN",Electrical Permit,$150126
2025-139427 PP,"8902 TRONE CIR, Nashville, TN",Plumbing Permit,$204301
2025-137967 PP,"9000 FALLKILL DR, Nashville, TN",Plumbing Permit,$214829
2025-144253 BP,"7101 S SIOUX TRL, Nashville, TN",Building Permit,$245287
2025-145982 PP,"7631 ROCKPOINT DR, Nashville, TN",Plumbing Permit,$175593
2025-142279 EP,"7105 N IH 35 SVRD NB, Nashville, TN",Electrical Permit,$219214
2025-146222 PP,"6317 BLARWOOD DR, Nashville, TN",Plumbing Permit,$270887
2025-146933 EP,"4100 E 51ST ST UNIT 300, Nashville, TN",Electrical Permit,$56689
2025-119690 PP,"4505 SPANISH OAK TRL, Nashville, TN",Plumbing Permit,$182893
2025-145792 EP,"5400 MESQUITE GROVE RD, Nashville, TN",Electrical Permit,$150224
2025-138507 MP,"5400 FREIDRICH LN UNIT 101, Nashville, TN",Mechanical Permit,$250770
2025-060995 EP,"2202 E 13TH ST--BLDG 1, Nashville, TN",Electrical Permit,$51212
2025-124436 EP,"401 CONGRESS AVE UNIT 1100, Nashville, TN",Electrical Permit,$56257
2025-145847 PP,"3910 DANLI LN, Nashville, TN",Plumbing Permit,$276273
2025-094345 PP,"1613 W 10TH ST, Nashville, TN",Plumbing Permit,$174021
2025-145292 MP,"9808 BRANDYWINE CIR, Nashville, TN",Mechanical Permit,$96482
2025-143300 EP,"2700 VIA FORTUNA, Nashville, TN",Electrical Permit,$108813
2025-046144 MP,"3309 LARRY LN BLDG 2, Nashville, TN",Mechanical Permit,$205053
2025-145922 PP,"2423 S 5TH ST, Nashville, TN",Plumbing Permit,$145675
2025-072650 EP,"9200 HAMADRYAS DR, Nashville, TN",Electrical Permit,$276217
2025-122442 EP,"1619 ELMHURST DR, Nashville, TN",Electrical Permit,$278375
2025-145617 BP,"2903 HILLVIEW RD Unit 1, Nashville, TN",Building Permit,$147580
2025-145169 PP,"7419 BOYD HAVEN DR, Nashville, TN",Plumbing Permit,$207891
2025-030963 DS,"3116 PRADO ST, Nashville, TN",Driveway / Sidewalks,$189771
2025-144813 EP,"13232 KINCANE DR, Nashville, TN",Electrical Permit,$281574
2025-060996 EP,"2202 E 13TH ST--BLDG 2, Nashville, TN",Electrical Permit,$276875
2025-143500 EP,"8611 CLAREWOOD DR, Nashville, TN",Electrical Permit,$162208
2025-060997 EP,"2202 E 13TH ST--BLDG 3, Nashville, TN",Electrical Permit,$233928
2025-144937 MP,"9711 TREE BEND DR, Nashville, TN",Mechanical Permit,$107276
2025-143076 PP,"1713 PIEDMONT AVE, Nashville, TN",Plumbing Permit,$299204
2025-145831 PP,"4610 COLORADO XING, Nashville, TN",Plumbing Permit,$168101
2025-043137 MP,"4412 S 1ST ST BLDG 1, Nashville, TN",Mechanical Permit,$254390
2025-145819 PP,"8412 STILLWOOD LN, Nashville, TN",Plumbing Permit,$154619
2025-143442 EP,"2600 VIA FORTUNA, Nashville, TN",Electrical Permit,$117165
2025-146463 PP,"2932 MOSS ST, Nashville, TN",Plumbing Permit,$131155
2025-136691 PP,"1806 PRINCETON AVE, Nashville, TN",Plumbing Permit,$87869
2025-115359 EP,"11307 YUCCA DR, Nashville, TN",Electrical Permit,$288149
2025-144422 PP,"11502 PAUL E ANDERSON DR, Nashville, TN",Plumbing Permit,$194521
2025-118131 EP,"4604 ENGLEWOOD DR, Nashville, TN",Electrical Permit,$271797
2025-146728 EP,"507 CLOVER CT, Nashville, TN",Electrical Permit,$213928
2025-113892 EP,"401 CONGRESS AVE UNIT 2050, Nashville, TN",Electrical Permit,$164055
2025-115372 PP,"11307 YUCCA DR, Nashville, TN",Plumbing Permit,$203586
2025-115676 EP,"3011 FONTANA DR UNIT B, Nashville, TN",Electrical Permit,$123330
2025-146314 EP,"1707 WESTMOOR DR, Nashville, TN",Electrical Permit,$100683
2025-078050 EP,"9220 CORVALLIS DR, Nashville, TN",Electrical Permit,$228299
2025-135703 PP,"2806 SAN PEDRO ST, Nashville, TN",Plumbing Permit,$153909
2025-146429 BP,"8001 CIRCUIT OF THE AMERICAS BLVD UNIT 1511, Nashville, TN",Building Permit,$230943
2025-139725 PP,"1707 VIRGINIA AVE, Nashville, TN",Plumbing Permit,$105936
2025-146387 BP,"5301 MONARDA MINT DR, Nashville, TN",Building Permit,$270757
2025-145091 PP,"1018 BRICKELL LOOP UNIT A, Nashville, TN",Plumbing Permit,$151152
2025-145968 BP,"2206 LA CASA DR, Nashville, TN",Building Permit,$161912
2025-141488 PP,"1405 ARCADIA AVE, Nashville, TN",Plumbing Permit,$299560
2025-105598 BP,"5203 BALCONES DR, Nashville, TN",Building Permit,$75174
2025-146289 BP,"13413 LOIS LN, Nashville, TN",Building Permit,$164279
2025-146608 BP,"7001 BURNELL DR, Nashville, TN",Building Permit,$204773
2025-130656 EP,"12636 RESEARCH BLVD SVRD SB, Nashville, TN",Electrical Permit,$258389
2025-146850 EP,"17137 ROCKY RIDGE RD, Nashville, TN",Electrical Permit,$126788
2025-131385 DS,"2204-2229 GREENWOOD AVE, Nashville, TN",Driveway / Sidewalks,$285828
2025-147050 BP,"8905 COASTAL DR, Nashville, TN",Building Permit,$286137
2025-030999 MP,"1005 W JOHANNA ST, Nashville, TN",Mechanical Permit,$131686
2025-062996 EP,"8500 ENDALE ARCH DR, Nashville, TN",Electrical Permit,$63717
2025-142867 EP,"5332 WELLINGTON DR, Nashville, TN",Electrical Permit,$261326
2025-146728 BP,"507 CLOVER CT, Nashville, TN",Building Permit,$289998
